window_start,window_end,symbol,count_trades,mean_price,stddev_price,volatility_ratio
2026-05-07 21:01:30,2026-05-07 21:02:30,BINANCE:SOLUSDT,151,87.83682119205298,0.00686739746212336,7.818358370583527e-05
2026-05-07 21:01:50,2026-05-07 21:02:50,BINANCE:ETHUSDT,1293,2273.767370456303,0.6198318579748062,0.00027260126344869545
2026-05-07 21:01:30,2026-05-07 21:02:30,BINANCE:ETHUSDT,1048,2273.7715648854964,0.6858274888051102,0.0003016255016099858
2026-05-07 21:01:40,2026-05-07 21:02:40,BINANCE:BTCUSDT,392,79559.23209183673,3.509112465186702,4.4106917235401e-05
2026-05-07 21:01:30,2026-05-07 21:02:30,BINANCE:BTCUSDT,343,79560.13507288627,2.7448937032319254,3.4500867811716075e-05
2026-05-07 21:02:20,2026-05-07 21:03:20,BINANCE:SOLUSDT,169,87.83715976331361,0.006563193904592577,7.47200151083868e-05
2026-05-07 21:02:10,2026-05-07 21:03:10,BINANCE:SOLUSDT,169,87.83715976331361,0.006563193904592577,7.47200151083868e-05
2026-05-07 21:02:00,2026-05-07 21:03:00,BINANCE:SOLUSDT,169,87.83715976331361,0.006563193904592577,7.47200151083868e-05
2026-05-07 21:01:40,2026-05-07 21:02:40,BINANCE:SOLUSDT,169,87.83715976331361,0.006563193904592577,7.47200151083868e-05
2026-05-07 21:02:10,2026-05-07 21:03:10,BINANCE:ETHUSDT,1293,2273.767370456303,0.6198318579748062,0.00027260126344869545
2026-05-07 21:01:40,2026-05-07 21:02:40,BINANCE:ETHUSDT,1293,2273.767370456303,0.6198318579748062,0.00027260126344869545
2026-05-07 21:02:00,2026-05-07 21:03:00,BINANCE:BTCUSDT,392,79559.23209183673,3.509112465186702,4.4106917235401e-05
2026-05-07 21:01:50,2026-05-07 21:02:50,BINANCE:SOLUSDT,169,87.83715976331361,0.006563193904592577,7.47200151083868e-05
2026-05-07 21:02:20,2026-05-07 21:03:20,BINANCE:ETHUSDT,1293,2273.767370456303,0.6198318579748062,0.00027260126344869545
2026-05-07 21:02:00,2026-05-07 21:03:00,BINANCE:ETHUSDT,1293,2273.767370456303,0.6198318579748062,0.00027260126344869545
2026-05-07 21:02:30,2026-05-07 21:03:30,BINANCE:ETHUSDT,245,2273.7494285714283,0.12499049144162772,5.497109306374092e-05
2026-05-07 21:02:20,2026-05-07 21:03:20,BINANCE:BTCUSDT,392,79559.23209183673,3.509112465186702,4.4106917235401e-05
2026-05-07 21:02:10,2026-05-07 21:03:10,BINANCE:BTCUSDT,392,79559.23209183673,3.509112465186702,4.4106917235401e-05
2026-05-07 21:01:50,2026-05-07 21:02:50,BINANCE:BTCUSDT,392,79559.23209183673,3.509112465186702,4.4106917235401e-05
