window_start,window_end,symbol,count_trades,mean_price,stddev_price,volatility_ratio
2026-05-07 22:20:00,2026-05-07 22:21:00,BINANCE:ETHUSDT,360,2278.3154999999997,0.17985377843023986,7.894155942416223e-05
2026-05-07 22:19:40,2026-05-07 22:20:40,BINANCE:ETHUSDT,360,2278.3154999999997,0.17985377843023986,7.894155942416223e-05
2026-05-07 22:19:30,2026-05-07 22:20:30,BINANCE:ETHUSDT,360,2278.3154999999997,0.17985377843023986,7.894155942416223e-05
2026-05-07 22:20:20,2026-05-07 22:21:20,BINANCE:SOLUSDT,43,88.18930232558141,0.0025776963111292786,2.9229126925313664e-05
2026-05-07 22:20:00,2026-05-07 22:21:00,BINANCE:SOLUSDT,188,88.17606382978724,0.00830154745015362,9.414740338351584e-05
2026-05-07 22:20:10,2026-05-07 22:21:10,BINANCE:BTCUSDT,416,79573.14288461539,3.8314577232991076,4.8150136898009576e-05
2026-05-07 22:19:50,2026-05-07 22:20:50,BINANCE:BTCUSDT,416,79573.14288461539,3.8314577232991076,4.8150136898009576e-05
2026-05-07 22:20:10,2026-05-07 22:21:10,BINANCE:ETHUSDT,360,2278.3154999999997,0.17985377843023986,7.894155942416223e-05
2026-05-07 22:19:40,2026-05-07 22:20:40,BINANCE:SOLUSDT,188,88.17606382978724,0.00830154745015362,9.414740338351584e-05
2026-05-07 22:19:30,2026-05-07 22:20:30,BINANCE:BTCUSDT,416,79573.14288461539,3.8314577232991076,4.8150136898009576e-05
2026-05-07 22:19:50,2026-05-07 22:20:50,BINANCE:ETHUSDT,360,2278.3154999999997,0.17985377843023986,7.894155942416223e-05
2026-05-07 22:20:10,2026-05-07 22:21:10,BINANCE:SOLUSDT,188,88.17606382978724,0.00830154745015362,9.414740338351584e-05
2026-05-07 22:19:50,2026-05-07 22:20:50,BINANCE:SOLUSDT,188,88.17606382978724,0.00830154745015362,9.414740338351584e-05
2026-05-07 22:20:20,2026-05-07 22:21:20,BINANCE:BTCUSDT,166,79576.97740963854,2.3347864559354465,2.933997409723999e-05
2026-05-07 22:20:00,2026-05-07 22:21:00,BINANCE:BTCUSDT,416,79573.14288461539,3.8314577232991076,4.8150136898009576e-05
2026-05-07 22:19:40,2026-05-07 22:20:40,BINANCE:BTCUSDT,416,79573.14288461539,3.8314577232991076,4.8150136898009576e-05
2026-05-07 22:20:20,2026-05-07 22:21:20,BINANCE:ETHUSDT,159,2278.4819496855343,0.03994423307861577,1.753107286372345e-05
2026-05-07 22:19:30,2026-05-07 22:20:30,BINANCE:SOLUSDT,188,88.17606382978724,0.00830154745015362,9.414740338351584e-05
