window_start,window_end,symbol,count_trades,mean_price,stddev_price,volatility_ratio
2026-05-07 20:28:30,2026-05-07 20:29:30,BINANCE:SOLUSDT,63,88.15079365079366,0.0027247890131917693,3.091054431098973e-05
2026-05-07 20:28:00,2026-05-07 20:29:00,BINANCE:SOLUSDT,63,88.15079365079366,0.0027247890131917693,3.091054431098973e-05
2026-05-07 20:28:40,2026-05-07 20:29:40,BINANCE:SOLUSDT,63,88.15079365079366,0.0027247890131917693,3.091054431098973e-05
2026-05-07 20:28:10,2026-05-07 20:29:10,BINANCE:SOLUSDT,63,88.15079365079366,0.0027247890131917693,3.091054431098973e-05
2026-05-07 20:28:20,2026-05-07 20:29:20,BINANCE:SOLUSDT,63,88.15079365079366,0.0027247890131917693,3.091054431098973e-05
2026-05-07 20:27:50,2026-05-07 20:28:50,BINANCE:SOLUSDT,60,88.15050000000001,0.0021978417765085366,2.493283392049434e-05
2026-05-07 20:28:50,2026-05-07 20:29:50,BINANCE:SOLUSDT,3,88.15666666666668,0.005773502691891007,6.549139061395629e-05
